,Round,Home,Score,Away,Home_Score,Away_Score,Winner_team,Winner_Home_Away
0,Group stage,Juventus,1–0,eng Manchester ,1,0,Juventus,Home
1,Group stage,Atlético Madrid,4–0,ro Ste,4,0,Atlético Madrid,Home
2,Group stage,Dortmund,2–1,pl Widzew Ł,2,1,Dortmund,Home
3,Group stage,Rapid Wien,1–1,tr Fenerba,1,1,Draw,Draw
4,Group stage,Grasshopper,3–0,sct Rang,3,0,Grasshopper,Home
5,Group stage,Milan,2–3,pt Po,2,3,pt Po,Away
6,Group stage,Göteborg,2–3,no Rosenb,2,3,no Rosenb,Away
7,Group stage,Auxerre,0–1,nl A,0,1,nl A,Away
9,Group stage,Ajax,0–1,ch Grasshop,0,1,ch Grasshop,Away
10,Group stage,Rosenborg,1–4,it Mi,1,4,it Mi,Away
11,Group stage,Rangers ,1–2,fr Auxe,1,2,fr Auxe,Away
12,Group stage,Manchester Utd ,2–0,at Rapid W,2,0,Manchester Utd ,Home
13,Group stage,Steaua,0–3,de Dortm,0,3,de Dortm,Away
14,Group stage,Widzew Łódź,1–4,es Atlético Mad,1,4,es Atlético Mad,Away
15,Group stage,Porto,2–1,se Göteb,2,1,Porto,Home
16,Group stage,Fenerbahçe,0–1,it Juven,0,1,it Juven,Away
18,Group stage,Ajax,4–1,sct Rang,4,1,Ajax,Home
19,Group stage,Rosenborg,0–1,pt Po,0,1,pt Po,Away
20,Group stage,Rapid Wien,1–1,it Juven,1,1,Draw,Draw
21,Group stage,Auxerre,1–0,ch Grasshop,1,0,Auxerre,Home
22,Group stage,Fenerbahçe,0–2,eng Manchester ,0,2,eng Manchester ,Away
23,Group stage,Göteborg,2–1,it Mi,2,1,Göteborg,Home
24,Group stage,Steaua,1–0,pl Widzew Ł,1,0,Steaua,Home
25,Group stage,Atlético Madrid,0–1,de Dortm,0,1,de Dortm,Away
27,Group stage,Rangers ,0–1,nl A,0,1,nl A,Away
28,Group stage,Manchester Utd ,0–1,tr Fenerba,0,1,tr Fenerba,Away
29,Group stage,Juventus,5–0,at Rapid W,5,0,Juventus,Home
30,Group stage,Grasshopper,3–1,fr Auxe,3,1,Grasshopper,Home
31,Group stage,Widzew Łódź,2–0,ro Ste,2,0,Widzew Łódź,Home
32,Group stage,Porto,3–0,no Rosenb,3,0,Porto,Home
33,Group stage,Milan,4–2,se Göteb,4,2,Milan,Home
34,Group stage,Dortmund,1–2,es Atlético Mad,1,2,es Atlético Mad,Away
36,Group stage,Widzew Łódź,2–2,de Dortm,2,2,Draw,Draw
37,Group stage,Manchester Utd ,0–1,it Juven,0,1,it Juven,Away
38,Group stage,Steaua,1–1,es Atlético Mad,1,1,Draw,Draw
39,Group stage,Porto,1–1,it Mi,1,1,Draw,Draw
40,Group stage,Rangers ,2–1,ch Grasshop,2,1,Rangers ,Home
41,Group stage,Fenerbahçe,1–0,at Rapid W,1,0,Fenerbahçe,Home
42,Group stage,Rosenborg,1–0,se Göteb,1,0,Rosenborg,Home
43,Group stage,Ajax,1–2,fr Auxe,1,2,fr Auxe,Away
45,Group stage,Milan,1–2,no Rosenb,1,2,no Rosenb,Away
46,Group stage,Rapid Wien,0–2,eng Manchester ,0,2,eng Manchester ,Away
47,Group stage,Dortmund,5–3,ro Ste,5,3,Dortmund,Home
48,Group stage,Göteborg,0–2,pt Po,0,2,pt Po,Away
49,Group stage,Grasshopper,0–1,nl A,0,1,nl A,Away
50,Group stage,Atlético Madrid,1–0,pl Widzew Ł,1,0,Atlético Madrid,Home
51,Group stage,Auxerre,2–1,sct Rang,2,1,Auxerre,Home
52,Group stage,Juventus,2–0,tr Fenerba,2,0,Juventus,Home
54,Quarter-finals,Manchester Utd ,4–0,pt Po,4,0,Manchester Utd ,Home
55,Quarter-finals,Ajax,1–1,es Atlético Mad,1,1,Draw,Draw
56,Quarter-finals,Dortmund,3–1,fr Auxe,3,1,Dortmund,Home
57,Quarter-finals,Rosenborg,1–1,it Juven,1,1,Draw,Draw
58,Quarter-finals,Auxerre,0–1,de Dortm,0,1,de Dortm,Away
59,Quarter-finals,Atlético Madrid,2–3,nl A,2,3,nl A,Away
60,Quarter-finals,Porto,0–0,eng Manchester ,0,0,Draw,Draw
61,Quarter-finals,Juventus,2–0,no Rosenb,2,0,Juventus,Home
62,Semi-finals,Ajax,1–2,it Juven,1,2,it Juven,Away
63,Semi-finals,Dortmund,1–0,eng Manchester ,1,0,Dortmund,Home
64,Semi-finals,Manchester Utd ,0–1,de Dortm,0,1,de Dortm,Away
65,Semi-finals,Juventus,4–1,nl A,4,1,Juventus,Home
66,Final,Dortmund,3–1,it Juven,3,1,Dortmund,Home
